Sequence,Date of Collection,Clade
seq_4240,2021-11-09,21J (Delta)
seq_4241,2021-11-10,21J (Delta)
seq_4242,2021-11-10,21J (Delta)
seq_4243,2021-11-08,21J (Delta)
seq_4244,2021-11-09,21J (Delta)
seq_4245,2021-11-11,21J (Delta)
seq_4246,2021-11-10,21J (Delta)
seq_4247,2021-11-05,21J (Delta)
seq_4248,2021-11-08,21J (Delta)
seq_4249,2021-11-09,21J (Delta)
seq_4250,2021-11-09,21J (Delta)
seq_4251,2021-11-10,21J (Delta)
seq_4252,2021-11-12,21J (Delta)
seq_4253,2021-11-10,21J (Delta)
seq_4254,2021-11-11,21J (Delta)
seq_4255,2021-11-11,21I (Delta)
seq_4256,2021-11-10,21J (Delta)
seq_4257,2021-11-11,21J (Delta)
seq_4258,2021-11-11,21J (Delta)
seq_4259,2021-11-10,21J (Delta)
seq_4260,2021-11-10,21J (Delta)
seq_4261,2021-11-07,21J (Delta)
seq_4262,2021-11-10,21J (Delta)
seq_4263,2021-11-11,21J (Delta)
seq_4264,2021-11-09,21J (Delta)
seq_4265,2021-11-09,21J (Delta)
seq_4266,2021-11-12,21J (Delta)
seq_4267,2021-11-11,21J (Delta)
seq_4268,2021-11-12,21J (Delta)
seq_4269,2021-11-11,21J (Delta)
seq_4270,2021-11-10,21J (Delta)
seq_4271,2021-11-09,21J (Delta)
seq_4272,2021-11-11,21J (Delta)
seq_4273,2021-11-10,21J (Delta)
seq_4274,2021-11-09,21J (Delta)
seq_4275,2021-11-10,21J (Delta)
seq_4276,2021-11-11,21J (Delta)
seq_4277,2021-11-12,21J (Delta)
seq_4278,2021-11-09,21J (Delta)
seq_4279,2021-11-11,21J (Delta)
seq_4280,2021-11-10,21J (Delta)
seq_4281,2021-11-11,21J (Delta)
seq_4282,2021-11-11,21J (Delta)
seq_4283,2021-11-07,21J (Delta)
seq_4284,2021-11-10,21J (Delta)
seq_4285,2021-11-10,21J (Delta)
seq_4286,2021-11-09,21J (Delta)
seq_4287,2021-11-10,21J (Delta)
seq_4288,2021-11-09,21J (Delta)
seq_4289,2021-11-10,21J (Delta)
seq_4290,2021-11-11,21J (Delta)
seq_4291,2021-11-10,21J (Delta)
seq_4292,2021-11-05,21J (Delta)
seq_4293,2021-11-09,21J (Delta)
seq_4294,2021-11-11,21J (Delta)
seq_4295,2021-11-10,21J (Delta)
seq_4296,2021-11-09,21I (Delta)
seq_4297,2021-11-11,21J (Delta)
seq_4298,2021-11-10,20C
seq_4299,2021-11-11,21J (Delta)
seq_4300,2021-11-11,21J (Delta)
seq_4301,2021-11-08,21J (Delta)
seq_4302,2021-11-09,21J (Delta)
seq_4303,2021-11-11,21J (Delta)
seq_4304,2021-11-09,21J (Delta)
seq_4305,2021-11-10,21J (Delta)
seq_4306,2021-11-10,21J (Delta)
seq_4307,2021-11-12,21J (Delta)
seq_4308,2021-11-09,21J (Delta)
seq_4309,2021-11-11,21J (Delta)
seq_4310,2021-11-09,21J (Delta)
seq_4311,2021-11-13,21J (Delta)
seq_4312,2021-11-08,21I (Delta)
seq_4313,2021-11-11,21J (Delta)
seq_4314,2021-11-09,21J (Delta)
seq_4315,2021-11-09,21J (Delta)
seq_4316,2021-11-11,21J (Delta)
seq_4317,2021-11-09,21I (Delta)
seq_4318,2021-11-12,21J (Delta)
seq_4319,2021-11-10,21J (Delta)
seq_4320,2021-11-10,21J (Delta)
seq_4321,2021-11-11,21J (Delta)
seq_4322,2021-11-11,21J (Delta)
seq_4323,2021-11-12,21J (Delta)
seq_4324,2021-11-09,21J (Delta)
seq_4325,2021-11-10,21J (Delta)
seq_4326,2021-11-10,21J (Delta)
seq_4327,2021-11-10,21J (Delta)
seq_4328,2021-11-09,21J (Delta)
seq_4329,2021-11-11,21J (Delta)
seq_4330,2021-11-11,21J (Delta)
seq_4331,2021-11-11,21I (Delta)
seq_4332,2021-11-09,21J (Delta)
seq_4333,2021-11-11,21J (Delta)
seq_4334,2021-11-09,21J (Delta)
seq_4335,2021-11-11,21J (Delta)
seq_4336,2021-11-09,21J (Delta)
seq_4337,2021-11-09,21J (Delta)
seq_4338,2021-11-10,21J (Delta)
seq_4339,2021-11-12,21J (Delta)
seq_4340,2021-11-10,21J (Delta)
seq_4341,2021-11-09,21J (Delta)
seq_4342,2021-11-09,21J (Delta)
seq_4343,2021-11-09,21J (Delta)
seq_4344,2021-11-10,21J (Delta)
seq_4345,2021-11-10,21J (Delta)
seq_4346,2021-11-10,21J (Delta)
seq_4347,2021-11-08,21J (Delta)
seq_4348,2021-11-10,21J (Delta)
seq_4349,2021-11-10,21J (Delta)
seq_4350,2021-11-08,21J (Delta)
seq_4351,2021-11-09,21J (Delta)
seq_4352,2021-11-11,21J (Delta)
seq_4353,2021-11-09,21J (Delta)
seq_4354,2021-11-10,21A (Delta)
seq_4355,2021-11-11,21J (Delta)
seq_4356,2021-11-09,21J (Delta)
seq_4357,2021-11-10,21J (Delta)
seq_4358,2021-11-11,21J (Delta)
seq_4359,2021-11-10,21J (Delta)
seq_4360,2021-11-11,21J (Delta)
seq_4361,2021-11-10,21J (Delta)
seq_4362,2021-11-10,21J (Delta)
seq_4363,2021-11-10,21J (Delta)
seq_4364,2021-11-08,21I (Delta)
seq_4365,2021-11-08,21J (Delta)
seq_4366,2021-11-11,21J (Delta)
seq_4367,2021-11-11,21J (Delta)
seq_4368,2021-11-10,21J (Delta)
seq_4369,2021-11-08,21J (Delta)
seq_4370,2021-11-12,21J (Delta)
seq_4371,2021-11-10,21J (Delta)
seq_4372,2021-11-12,21J (Delta)
seq_4373,2021-11-10,21J (Delta)
seq_4374,2021-11-09,21J (Delta)
seq_4375,2021-11-10,21J (Delta)
seq_4376,2021-11-10,21J (Delta)
seq_4377,2021-11-09,21J (Delta)
seq_4378,2021-11-10,21J (Delta)
seq_4379,2021-11-12,21J (Delta)
seq_4380,2021-11-10,21J (Delta)
seq_4381,2021-11-08,21J (Delta)
seq_4382,2021-11-10,21J (Delta)
seq_4383,2021-11-10,21J (Delta)
seq_4384,2021-11-10,21J (Delta)
seq_4385,2021-11-12,21J (Delta)
seq_4386,2021-11-11,21J (Delta)
seq_4387,2021-11-08,21J (Delta)
seq_4388,2021-11-10,21J (Delta)
seq_4389,2021-11-11,21J (Delta)
seq_4390,2021-11-10,21J (Delta)
seq_4391,2021-11-08,21J (Delta)
seq_4392,2021-11-10,21J (Delta)
seq_4393,2021-11-10,21J (Delta)
seq_4394,2021-11-08,21J (Delta)
seq_4395,2021-11-10,21J (Delta)
seq_4396,2021-11-10,20C
seq_4397,2021-11-08,21J (Delta)
seq_4398,2021-11-12,21J (Delta)
seq_4399,2021-11-09,21J (Delta)
seq_4400,2021-11-10,21J (Delta)
seq_4401,2021-11-10,21J (Delta)
seq_4402,2021-11-11,21J (Delta)
seq_4403,2021-11-11,21J (Delta)
seq_4404,2021-11-09,21J (Delta)
seq_4405,2021-11-10,21J (Delta)
seq_4406,2021-11-09,21J (Delta)
seq_4407,2021-11-08,21J (Delta)
seq_4408,2021-11-09,21J (Delta)
seq_4409,2021-11-11,21J (Delta)
seq_4410,2021-11-09,21J (Delta)
seq_4411,2021-11-12,21J (Delta)
seq_4412,2021-11-11,21J (Delta)
seq_4413,2021-11-11,21J (Delta)
seq_4414,2021-11-10,21J (Delta)
seq_4415,2021-11-12,21J (Delta)
seq_4416,2021-11-11,21J (Delta)
seq_4417,2021-11-11,21J (Delta)
seq_4418,2021-11-10,21J (Delta)
seq_4419,2021-11-11,21J (Delta)
seq_4420,2021-11-10,21J (Delta)
seq_4421,2021-11-10,21J (Delta)
seq_4422,2021-11-10,21J (Delta)
seq_4423,2021-11-08,21J (Delta)
seq_4424,2021-11-11,21J (Delta)
seq_4425,2021-11-11,21J (Delta)
seq_4426,2021-11-10,21J (Delta)
seq_4427,2021-11-10,21J (Delta)
seq_4428,2021-11-10,21J (Delta)
seq_4429,2021-11-10,21J (Delta)
seq_4430,2021-11-11,21J (Delta)
seq_4431,2021-11-08,21J (Delta)
seq_4432,2021-11-08,21J (Delta)
seq_4433,2021-11-08,21J (Delta)
seq_4434,2021-11-10,21J (Delta)
seq_4435,2021-11-10,21J (Delta)
seq_4436,2021-11-09,21J (Delta)
seq_4437,2021-11-08,21J (Delta)
seq_4438,2021-11-10,21J (Delta)
seq_4439,2021-11-10,21J (Delta)
seq_4440,2021-11-11,21J (Delta)
seq_4441,2021-11-08,21J (Delta)
seq_4442,2021-11-08,21J (Delta)
seq_4443,2021-11-11,21J (Delta)
seq_4444,2021-11-09,21J (Delta)
seq_4445,2021-11-11,21J (Delta)
seq_4446,2021-11-08,21J (Delta)
seq_4447,2021-11-08,21J (Delta)
seq_4448,2021-11-10,21J (Delta)
seq_4449,2021-11-11,21J (Delta)
seq_4450,2021-11-10,21J (Delta)
seq_4451,2021-11-10,21J (Delta)
seq_4452,2021-11-09,21J (Delta)
seq_4453,2021-11-09,21J (Delta)
seq_4454,2021-11-10,21J (Delta)
seq_4455,2021-11-10,21J (Delta)
seq_4456,2021-11-10,21J (Delta)
seq_4457,2021-11-05,21J (Delta)
seq_4458,2021-11-12,21J (Delta)
seq_4459,2021-11-11,21J (Delta)
seq_4460,2021-11-12,21J (Delta)
seq_4461,2021-11-09,21J (Delta)
seq_4462,2021-11-10,21J (Delta)
seq_4463,2021-11-08,21J (Delta)
seq_4464,2021-11-10,21J (Delta)
seq_4465,2021-11-11,21J (Delta)
seq_4466,2021-11-09,21J (Delta)
seq_4467,2021-11-11,21J (Delta)
seq_4468,2021-11-12,21J (Delta)
seq_4469,2021-11-10,21J (Delta)
seq_4470,2021-11-10,21J (Delta)
seq_4471,2021-11-09,21J (Delta)
seq_4472,2021-11-10,21J (Delta)
seq_4473,2021-11-10,21J (Delta)
seq_4474,2021-11-11,21J (Delta)
seq_4475,2021-11-09,21J (Delta)
seq_4476,2021-11-10,21J (Delta)
seq_4477,2021-11-10,21J (Delta)
seq_4478,2021-11-04,21J (Delta)
seq_4479,2021-11-10,21J (Delta)
seq_4480,2021-11-12,21J (Delta)
seq_4481,2021-11-11,21J (Delta)
seq_4482,2021-11-10,21J (Delta)
seq_4483,2021-11-10,21J (Delta)
seq_4484,2021-11-08,21J (Delta)
seq_4485,2021-11-10,21J (Delta)
seq_4486,2021-11-12,21J (Delta)
seq_4487,2021-11-11,21J (Delta)
seq_4488,2021-11-11,21J (Delta)
seq_4489,2021-11-09,21I (Delta)
seq_4490,2021-11-08,21J (Delta)
seq_4491,2021-11-11,21J (Delta)
seq_4492,2021-11-08,21J (Delta)
seq_4493,2021-11-08,21J (Delta)
seq_4494,2021-11-11,21J (Delta)
seq_4495,2021-11-09,21A (Delta)
seq_4496,2021-11-09,21J (Delta)
seq_4497,2021-11-11,21J (Delta)
seq_4498,2021-11-10,21J (Delta)
seq_4499,2021-11-11,21J (Delta)
seq_4500,2021-11-10,21J (Delta)
seq_4501,2021-11-08,21J (Delta)
seq_4502,2021-11-12,21J (Delta)
seq_4503,2021-11-12,21J (Delta)
seq_4504,2021-11-10,21J (Delta)
seq_4505,2021-11-11,21J (Delta)
seq_4506,2021-11-10,21J (Delta)
seq_4507,2021-11-10,21J (Delta)
seq_4508,2021-11-09,21J (Delta)
seq_4509,2021-11-11,21J (Delta)
seq_4510,2021-11-10,21J (Delta)
seq_4511,2021-11-10,21J (Delta)
seq_4512,2021-11-09,21J (Delta)
seq_4513,2021-11-09,21J (Delta)
seq_4514,2021-11-09,21J (Delta)
seq_4515,2021-11-11,21J (Delta)
seq_4516,2021-11-11,21J (Delta)
seq_4517,2021-11-10,21J (Delta)
seq_4518,2021-11-10,21J (Delta)
seq_4519,2021-11-09,21J (Delta)
seq_4520,2021-11-11,21J (Delta)
seq_4521,2021-11-09,21J (Delta)
seq_4522,2021-11-10,21J (Delta)
seq_4523,2021-11-10,21J (Delta)
seq_4524,2021-11-11,21J (Delta)
seq_4525,2021-11-10,21J (Delta)
seq_4526,2021-11-08,21J (Delta)
seq_4527,2021-11-11,21J (Delta)
seq_4528,2021-11-10,21J (Delta)
seq_4529,2021-11-08,21J (Delta)
seq_4530,2021-11-13,21J (Delta)
seq_4531,2021-11-09,21J (Delta)
seq_4532,2021-11-10,21J (Delta)
seq_4533,2021-11-11,21J (Delta)
seq_4534,2021-11-11,21J (Delta)
seq_4535,2021-11-08,21J (Delta)
seq_4536,2021-11-11,21J (Delta)
seq_4537,2021-11-10,21J (Delta)
seq_4538,2021-11-09,21J (Delta)
seq_4539,2021-11-10,21J (Delta)
seq_4540,2021-11-11,21J (Delta)
seq_4541,2021-11-08,21J (Delta)
seq_4542,2021-11-11,21J (Delta)
seq_4543,2021-11-13,21J (Delta)
seq_4544,2021-11-10,21J (Delta)
seq_4545,2021-11-10,21J (Delta)
seq_4546,2021-11-11,21J (Delta)
seq_4547,2021-11-08,21J (Delta)
seq_4548,2021-11-11,21J (Delta)
seq_4549,2021-11-09,21J (Delta)
seq_4550,2021-11-11,21J (Delta)
seq_4551,2021-11-11,21J (Delta)
seq_4552,2021-11-09,21J (Delta)
seq_4553,2021-11-10,21J (Delta)
seq_4554,2021-11-11,21J (Delta)
seq_4555,2021-11-10,21I (Delta)
seq_4556,2021-11-10,21J (Delta)
seq_4557,2021-11-11,21J (Delta)
seq_4558,2021-11-11,21J (Delta)
seq_4559,2021-11-08,21J (Delta)
seq_4560,2021-11-11,21J (Delta)
seq_4561,2021-11-09,20C
seq_4562,2021-11-08,21J (Delta)
seq_4563,2021-11-09,21J (Delta)
seq_4564,2021-11-12,21J (Delta)
seq_4565,2021-11-10,21J (Delta)
seq_4566,2021-11-12,21J (Delta)
seq_4567,2021-11-14,21J (Delta)
seq_4568,2021-11-10,21J (Delta)
seq_4569,2021-11-13,21J (Delta)
seq_4570,2021-11-09,21J (Delta)
seq_4571,2021-11-10,21J (Delta)
seq_4572,2021-11-09,21J (Delta)
seq_4573,2021-11-09,21J (Delta)
seq_4574,2021-11-09,21J (Delta)
seq_4575,2021-11-26,21J (Delta)
seq_4576,2021-11-24,21J (Delta)
seq_4577,2021-11-24,21J (Delta)
seq_4578,2021-11-26,20C
seq_4579,2021-11-26,21J (Delta)
seq_4580,2021-11-27,21J (Delta)
seq_4581,2021-11-27,21J (Delta)
seq_4582,2021-11-24,21J (Delta)
seq_4583,2021-11-26,20C
seq_4584,2021-11-26,21J (Delta)
seq_4585,2021-11-24,21J (Delta)
seq_4586,2021-11-26,21J (Delta)
seq_4587,2021-11-26,21J (Delta)
seq_4588,2021-11-26,21J (Delta)
seq_4589,2021-11-25,21K (Omicron)
seq_4590,2021-11-24,21J (Delta)
seq_4591,2021-11-28,21J (Delta)
seq_4592,2021-11-28,21J (Delta)
seq_4593,2021-11-26,21J (Delta)
seq_4594,2021-11-26,21J (Delta)
seq_4595,2021-11-25,21J (Delta)
seq_4596,2021-11-24,21J (Delta)
seq_4597,2021-11-26,21J (Delta)
seq_4598,2021-11-26,21J (Delta)
seq_4599,2021-11-27,21J (Delta)
seq_4600,2021-11-27,21J (Delta)
seq_4601,2021-11-24,21J (Delta)
seq_4602,2021-11-28,21J (Delta)
seq_4603,2021-11-28,21J (Delta)
seq_4604,2021-11-26,21J (Delta)
seq_4605,2021-11-26,21J (Delta)
seq_4606,2021-11-26,21I (Delta)
seq_4607,2021-11-26,21J (Delta)
seq_4608,2021-11-26,21J (Delta)
seq_4609,2021-11-27,21J (Delta)
seq_4610,2021-11-28,21J (Delta)
seq_4611,2021-11-27,21J (Delta)
seq_4612,2021-11-27,21J (Delta)
seq_4613,2021-11-24,21J (Delta)
seq_4614,2021-11-28,21J (Delta)
seq_4615,2021-11-27,21J (Delta)
seq_4616,2021-11-25,21J (Delta)
seq_4617,2021-11-24,21J (Delta)
seq_4618,2021-11-28,21J (Delta)
seq_4619,2021-11-25,21J (Delta)
seq_4620,2021-11-21,21J (Delta)
seq_4621,2021-11-28,21J (Delta)
seq_4622,2021-11-26,21J (Delta)
seq_4623,2021-11-24,21J (Delta)
seq_4624,2021-11-26,21J (Delta)
seq_4625,2021-11-27,21J (Delta)
seq_4626,2021-11-26,21J (Delta)
seq_4627,2021-11-24,21J (Delta)
seq_4628,2021-11-25,21J (Delta)
seq_4629,2021-11-26,21J (Delta)
seq_4630,2021-11-24,21J (Delta)
seq_4631,2021-11-26,21J (Delta)
seq_4632,2021-11-24,21J (Delta)
seq_4633,2021-11-25,21J (Delta)
seq_4634,2021-11-26,21I (Delta)
seq_4635,2021-11-27,21J (Delta)
seq_4636,2021-11-26,21J (Delta)
seq_4637,2021-11-28,21J (Delta)
seq_4638,2021-11-26,21J (Delta)
seq_4639,2021-11-28,21J (Delta)
seq_4640,2021-11-28,21J (Delta)
seq_4641,2021-11-26,21J (Delta)
seq_4642,2021-11-27,21J (Delta)
seq_4643,2021-11-26,21J (Delta)
seq_4644,2021-11-27,21J (Delta)
seq_4645,2021-11-28,21J (Delta)
seq_4646,2021-11-26,21J (Delta)
seq_4647,2021-11-28,21J (Delta)
seq_4648,2021-11-24,21J (Delta)
seq_4649,2021-11-24,21J (Delta)
seq_4650,2021-11-26,21J (Delta)
seq_4651,2021-11-26,21J (Delta)
seq_4652,2021-11-24,21J (Delta)
seq_4653,2021-11-28,21J (Delta)
seq_4654,2021-11-24,21J (Delta)
seq_4655,2021-11-24,21J (Delta)
seq_4656,2021-11-26,21J (Delta)
seq_4657,2021-11-27,21J (Delta)
seq_4658,2021-11-26,21J (Delta)
seq_4659,2021-11-25,21J (Delta)
seq_4660,2021-11-28,21J (Delta)
seq_4661,2021-11-27,21J (Delta)
seq_4662,2021-11-24,21J (Delta)
seq_4663,2021-11-26,21J (Delta)
seq_4664,2021-11-24,21J (Delta)
seq_4665,2021-11-26,21J (Delta)
seq_4666,2021-11-24,21J (Delta)
seq_4667,2021-11-26,21J (Delta)
seq_4668,2021-11-27,21J (Delta)
seq_4669,2021-11-24,21J (Delta)
seq_4670,2021-11-26,21J (Delta)
seq_4671,2021-11-27,21J (Delta)
seq_4672,2021-11-26,21J (Delta)
seq_4673,2021-11-25,21J (Delta)
seq_4674,2021-11-24,21J (Delta)
seq_4675,2021-11-26,21J (Delta)
seq_4676,2021-11-26,21J (Delta)
seq_4677,2021-11-26,21J (Delta)
seq_4678,2021-11-26,21J (Delta)
seq_4679,2021-11-27,21J (Delta)
seq_4680,2021-11-24,21J (Delta)
seq_4681,2021-11-24,21J (Delta)
seq_4682,2021-11-26,21J (Delta)
seq_4683,2021-11-26,21J (Delta)
seq_4684,2021-11-25,21J (Delta)
seq_4685,2021-11-24,21J (Delta)
seq_4686,2021-11-26,21J (Delta)
seq_4687,2021-11-26,21J (Delta)
seq_4688,2021-11-24,21J (Delta)
seq_4689,2021-11-25,21J (Delta)
seq_4690,2021-11-28,21J (Delta)
seq_4691,2021-11-26,21J (Delta)
seq_4692,2021-11-26,21J (Delta)
seq_4693,2021-11-25,21J (Delta)
seq_4694,2021-11-26,21J (Delta)
seq_4695,2021-11-24,21J (Delta)
seq_4696,2021-11-26,21J (Delta)
seq_4697,2021-11-24,21J (Delta)
seq_4698,2021-11-26,21J (Delta)
seq_4699,2021-11-28,21J (Delta)
seq_4700,2021-11-27,21J (Delta)
seq_4701,2021-11-25,21J (Delta)
seq_4702,2021-11-27,21J (Delta)
seq_4703,2021-11-25,21J (Delta)
seq_4704,2021-11-26,21J (Delta)
seq_4705,2021-11-26,21I (Delta)
seq_4706,2021-11-24,20C
seq_4707,2021-11-25,21J (Delta)
seq_4708,2021-11-24,21J (Delta)
seq_4709,2021-11-26,21J (Delta)
seq_4710,2021-11-26,21J (Delta)
seq_4711,2021-11-24,21J (Delta)
seq_4712,2021-11-26,21J (Delta)
seq_4713,2021-11-25,21J (Delta)
seq_4714,2021-11-24,21J (Delta)
seq_4715,2021-11-24,21J (Delta)
seq_4716,2021-11-27,21J (Delta)
seq_4717,2021-11-26,21J (Delta)
seq_4718,2021-11-26,21J (Delta)
seq_4719,2021-11-26,21J (Delta)
seq_4720,2021-11-24,21J (Delta)
seq_4721,2021-11-24,21J (Delta)
seq_4722,2021-11-26,21J (Delta)
seq_4723,2021-11-26,21J (Delta)
seq_4724,2021-11-26,21J (Delta)
seq_4725,2021-11-28,21J (Delta)
seq_4726,2021-11-26,21J (Delta)
seq_4727,2021-11-24,21J (Delta)
seq_4728,2021-11-26,21J (Delta)
seq_4729,2021-11-26,21J (Delta)
seq_4730,2021-11-24,21J (Delta)
seq_4731,2021-11-26,21J (Delta)
seq_4732,2021-11-26,21J (Delta)
seq_4733,2021-11-26,21J (Delta)
seq_4734,2021-11-24,21J (Delta)
seq_4735,2021-11-28,21J (Delta)
seq_4736,2021-11-26,21J (Delta)
seq_4737,2021-11-24,21J (Delta)
seq_4738,2021-11-26,21J (Delta)
seq_4739,2021-11-27,21J (Delta)
seq_4740,2021-11-26,21J (Delta)
seq_4741,2021-11-22,21J (Delta)
seq_4742,2021-11-28,21J (Delta)
seq_4743,2021-11-26,21J (Delta)
seq_4744,2021-11-24,21J (Delta)
seq_4745,2021-11-23,21J (Delta)
seq_4746,2021-11-26,21J (Delta)
seq_4747,2021-11-25,21J (Delta)
seq_4748,2021-11-25,21J (Delta)
seq_4749,2021-11-26,21J (Delta)
seq_4750,2021-11-27,21J (Delta)
seq_4751,2021-11-25,21J (Delta)
seq_4752,2021-11-26,21J (Delta)
seq_4753,2021-11-26,21J (Delta)
seq_4754,2021-11-26,21J (Delta)
seq_4755,2021-11-26,21J (Delta)
seq_4756,2021-11-26,21J (Delta)
seq_4757,2021-11-27,21J (Delta)
seq_4758,2021-11-25,21J (Delta)
seq_4759,2021-11-26,21J (Delta)
seq_4760,2021-11-24,21J (Delta)
seq_4761,2021-11-25,21J (Delta)
seq_4762,2021-11-26,21J (Delta)
seq_4763,2021-11-24,21J (Delta)
seq_4764,2021-11-26,21J (Delta)
seq_4765,2021-11-26,21J (Delta)
seq_4766,2021-11-26,21J (Delta)
seq_4767,2021-11-28,21J (Delta)
seq_4768,2021-11-26,21J (Delta)
seq_4769,2021-11-24,21J (Delta)
seq_4770,2021-11-26,21J (Delta)
seq_4771,2021-11-24,21J (Delta)
seq_4772,2021-11-28,21J (Delta)
seq_4773,2021-11-24,21J (Delta)
seq_4774,2021-11-25,21J (Delta)
seq_4775,2021-11-28,21J (Delta)
seq_4776,2021-11-26,21J (Delta)
seq_4777,2021-11-25,21J (Delta)
seq_4778,2021-11-24,21J (Delta)
seq_4779,2021-11-24,21J (Delta)
seq_4780,2021-11-26,21J (Delta)
seq_4781,2021-11-26,21J (Delta)
seq_4782,2021-11-25,21J (Delta)
seq_4783,2021-11-28,21J (Delta)
seq_4784,2021-11-24,21J (Delta)
seq_4785,2021-11-28,21J (Delta)
seq_4786,2021-11-25,21J (Delta)
seq_4787,2021-11-24,21J (Delta)
seq_4788,2021-11-28,21J (Delta)
seq_4789,2021-11-26,21J (Delta)
seq_4790,2021-11-26,21J (Delta)
seq_4791,2021-11-28,21J (Delta)
seq_4792,2021-11-18,21J (Delta)
seq_4793,2021-11-28,21J (Delta)
seq_4794,2021-11-26,21J (Delta)
seq_4795,2021-11-26,21J (Delta)
seq_4796,2021-11-24,21J (Delta)
seq_4797,2021-11-24,21J (Delta)
seq_4798,2021-11-24,21J (Delta)
seq_4799,2021-11-24,21J (Delta)
seq_4800,2021-11-27,21J (Delta)
seq_4801,2021-11-27,21J (Delta)
seq_4802,2021-11-24,21J (Delta)
seq_4803,2021-11-25,21J (Delta)
seq_4804,2021-11-23,21J (Delta)
seq_4805,2021-11-27,21J (Delta)
seq_4806,2021-11-28,21J (Delta)
seq_4807,2021-11-26,21J (Delta)
seq_4808,2021-11-26,21J (Delta)
seq_4809,2021-11-26,21J (Delta)
seq_4810,2021-11-26,21J (Delta)
seq_4811,2021-11-25,21J (Delta)
seq_4812,2021-11-26,21J (Delta)
seq_4813,2021-11-26,21J (Delta)
seq_4814,2021-11-25,21J (Delta)
seq_4815,2021-11-25,21J (Delta)
seq_4816,2021-11-26,21J (Delta)
seq_4817,2021-11-24,21J (Delta)
seq_4818,2021-11-24,21J (Delta)
seq_4819,2021-11-26,21I (Delta)
seq_4820,2021-11-18,21J (Delta)
seq_4821,2021-11-25,21J (Delta)
seq_4822,2021-11-24,21J (Delta)
seq_4823,2021-11-26,21J (Delta)
seq_4824,2021-11-27,21J (Delta)
seq_4825,2021-11-26,21J (Delta)
seq_4826,2021-11-26,21J (Delta)
seq_4827,2021-11-26,21J (Delta)
seq_4828,2021-11-26,21J (Delta)
seq_4829,2021-11-27,21J (Delta)
seq_4830,2021-11-26,21J (Delta)
seq_4831,2021-11-26,21J (Delta)
seq_4832,2021-11-26,21J (Delta)
seq_4833,2021-11-26,21J (Delta)
seq_4834,2021-11-26,21J (Delta)
seq_4835,2021-11-25,21J (Delta)
seq_4836,2021-11-25,21J (Delta)
seq_4837,2021-11-24,21J (Delta)
seq_4838,2021-11-26,21J (Delta)
seq_4839,2021-11-24,21J (Delta)
seq_4840,2021-11-24,21J (Delta)
seq_4841,2021-11-26,21J (Delta)
seq_4842,2021-11-26,21J (Delta)
seq_4843,2021-11-28,21J (Delta)
seq_4844,2021-11-25,21J (Delta)
seq_4845,2021-11-26,21J (Delta)
seq_4846,2021-11-26,21J (Delta)
seq_4847,2021-11-28,21J (Delta)
seq_4848,2021-11-26,21J (Delta)
seq_4849,2021-11-28,21J (Delta)
seq_4850,2021-11-26,21J (Delta)
seq_4851,2021-11-26,21J (Delta)
seq_4852,2021-11-26,21J (Delta)
seq_4853,2021-11-27,21J (Delta)
seq_4854,2021-11-25,21J (Delta)
seq_4855,2021-11-24,21J (Delta)
seq_4856,2021-11-24,21J (Delta)
seq_4857,2021-11-24,21J (Delta)
seq_4858,2021-11-24,21J (Delta)
seq_4859,2021-11-27,21J (Delta)
seq_4860,2021-11-26,21J (Delta)
seq_4861,2021-11-26,21J (Delta)
seq_4862,2021-11-27,21J (Delta)
seq_4863,2021-11-26,21J (Delta)
seq_4864,2021-11-24,21J (Delta)
seq_4865,2021-11-24,21J (Delta)
seq_4866,2021-11-26,21K (Omicron)
seq_4867,2021-11-26,21J (Delta)
seq_4868,2021-11-25,21J (Delta)
seq_4869,2021-11-24,21J (Delta)
seq_4870,2021-11-26,21J (Delta)
seq_4871,2021-11-26,21J (Delta)
seq_4872,2021-11-26,21J (Delta)
seq_4873,2021-11-25,21J (Delta)
seq_4874,2021-11-26,21J (Delta)
seq_4875,2021-11-26,21J (Delta)
seq_4876,2021-11-23,21J (Delta)
seq_4877,2021-11-26,21J (Delta)
seq_4878,2021-11-26,21J (Delta)
seq_4879,2021-11-25,21J (Delta)
seq_4880,2021-11-24,21J (Delta)
seq_4881,2021-11-27,21J (Delta)
seq_4882,2021-11-26,21J (Delta)
seq_4883,2021-11-27,21J (Delta)
seq_4884,2021-11-24,21J (Delta)
seq_4885,2021-11-25,21J (Delta)
seq_4886,2021-11-24,21J (Delta)
seq_4887,2021-11-26,21J (Delta)
seq_4888,2021-11-28,21J (Delta)
seq_4889,2021-11-24,21J (Delta)
seq_4890,2021-11-27,21J (Delta)
seq_4891,2021-11-24,21J (Delta)
seq_4892,2021-11-26,21J (Delta)
seq_4893,2021-11-24,21J (Delta)
seq_4894,2021-11-28,21J (Delta)
seq_4895,2021-11-24,21J (Delta)
seq_4896,2021-11-21,21J (Delta)
seq_4897,2021-11-26,21J (Delta)
seq_4898,2021-11-28,21J (Delta)
seq_4899,2021-11-26,21J (Delta)
seq_4900,2021-11-26,21J (Delta)
seq_4901,2021-11-28,21J (Delta)
seq_4902,2021-11-26,21J (Delta)
seq_4903,2021-11-26,21J (Delta)
seq_4904,2021-11-26,21J (Delta)
seq_4905,2021-11-28,21J (Delta)
seq_4906,2021-11-29,21J (Delta)
